AcademicYear,SchoolName,SuspensionRate,DefianceRate,ViolentInjuryRate,ViolentNonInjuryRate,WeaponPossessionRate,DrugSuspensionRate,OtherSuspensionRate
2018-01-08,"San Pedro Elementary",0.5415,0.0000,75.0000,25.0000,0.0000,0.0000,0.0000
2018-01-08,"San Rafael High",8.7948,13.6364,16.3636,40.9091,1.8182,23.6364,15.4545
2018-01-08,"San Ramon Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Short Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Sinaloa Middle",1.9763,0.0000,0.0000,40.0000,0.0000,60.0000,0.0000
2018-01-08,"Strawberry Point Elementary",2.6316,25.0000,0.0000,25.0000,0.0000,0.0000,75.0000
2018-01-08,"Sun Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Tamalpais High",2.8090,0.0000,0.0000,20.0000,0.0000,80.0000,0.0000
2018-01-08,"Tamalpais Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Tamiscal High (Alternative)",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2018-01-08,"Terra Linda High",4.1935,3.1250,0.0000,43.7500,0.0000,46.8750,3.1250
2018-01-08,"Tomales Elementary",1.9417,0.0000,66.6667,33.3333,0.0000,0.0000,0.0000
2018-01-08,"Tomales High",8.0808,37.5000,12.5000,12.5000,0.0000,37.5000,37.5000
2018-01-08,"Vallecito Elementary",1.4286,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2018-01-08,"Venetia Valley K-8",2.4917,5.8824,5.8824,17.6471,11.7647,52.9412,5.8824
2018-01-08,"Wade Thomas Elementary",2.5000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2018-01-08,"West Marin Elementary",1.2346,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2018-01-08,"White Hill Middle",4.4444,0.0000,25.0000,0.0000,0.0000,75.0000,0.0000
2019-01-08,"Adaline E. Kent Middle",4.9383,25.0000,0.0000,75.0000,0.0000,0.0000,25.0000
2019-01-08,"Anthony G. Bacich Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Archie Williams High",2.1053,0.0000,0.0000,50.0000,0.0000,50.0000,0.0000
2019-01-08,"Bahia Vista Elementary",0.3578,50.0000,0.0000,0.0000,0.0000,50.0000,50.0000
2019-01-08,"Bayside Martin Luther King Jr. Academy",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Bel Aire Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Bodega Bay Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Bolinas-Stinson Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Brookside Elementary",2.2727,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2019-01-08,"Coleman Elementary",0.9346,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2019-01-08,Cove,0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Del Mar Middle",3.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2019-01-08,"Edna Maguire Elementary",1.8519,100.0000,0.0000,0.0000,0.0000,0.0000,100.0000
2019-01-08,"Glenwood Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Hall Middle",2.7778,0.0000,0.0000,50.0000,0.0000,50.0000,0.0000
2019-01-08,"Hamilton Meadow Park",1.7413,28.5714,0.0000,28.5714,28.5714,0.0000,28.5714
2019-01-08,"Hidden Valley Elementary",3.7037,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2019-01-08,"Inverness Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"James B. Davidson Middle",2.6932,0.0000,0.0000,44.4444,0.0000,55.5556,0.0000
2019-01-08,"Laguna Elementary",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Lagunitas Elementary",4.5455,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2019-01-08,"Laurel Dell Elementary",4.3956,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
2019-01-08,"Lincoln Union Elementary",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Loma Verde Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Lu Sutton Elementary",0.8621,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2019-01-08,"Lucas Valley Elementary",2.7027,50.0000,0.0000,0.0000,0.0000,0.0000,100.0000
2019-01-08,"Lynwood Elementary",0.4878,50.0000,0.0000,0.0000,0.0000,0.0000,100.0000
2019-01-08,"Madrone High Continuation",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Manor Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Marin County Juvenile Court",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Marin County Special Education",2.5974,0.0000,50.0000,0.0000,0.0000,50.0000,0.0000
2019-01-08,"Marin Oaks High",6.4516,16.6667,16.6667,33.3333,0.0000,33.3333,16.6667
2019-01-08,"Marin's Community",5.6338,25.0000,0.0000,37.5000,0.0000,12.5000,37.5000
2019-01-08,"Mary E. Silveira Elementary",0.6993,100.0000,0.0000,0.0000,0.0000,0.0000,100.0000
2019-01-08,"Mill Valley Middle",1.1905,100.0000,0.0000,0.0000,0.0000,0.0000,100.0000
2019-01-08,"Miller Creek Middle",6.4286,7.1429,14.2857,64.2857,0.0000,14.2857,7.1429
2019-01-08,"Neil Cummins Elementary",1.3333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2019-01-08,Nicasio,0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nonpublic, Nonsectarian Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Nova Education Center",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Novato High",4.3706,2.9412,20.5882,14.7059,8.8235,50.0000,2.9412
2019-01-08,"Old Gallinas",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Old Mill Elementary",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Olive Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Park Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Pleasant Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Rancho Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Redwood High",2.5157,0.0000,11.1111,66.6667,0.0000,22.2222,0.0000
2019-01-08,"Reed Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Ross Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"San Andreas High (Continuation)",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"San Geronimo Valley Elementary",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"San Jose Intermediate",4.2254,0.0000,4.0000,76.0000,0.0000,20.0000,0.0000
2019-01-08,"San Marin High",2.7473,7.1429,14.2857,7.1429,0.0000,71.4286,7.1429
2019-01-08,"San Pedro Elementary",0.3604,33.3333,0.0000,66.6667,0.0000,0.0000,33.3333
2019-01-08,"San Rafael High",2.6263,3.0303,6.0606,45.4545,12.1212,30.3030,3.0303
2019-01-08,"San Ramon Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Short Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Sinaloa Middle",3.1008,6.6667,0.0000,53.3333,6.6667,26.6667,13.3333
2019-01-08,"Strawberry Point Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Sun Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Tamalpais High",1.0526,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
2019-01-08,"Tamalpais Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Tamiscal High (Alternative)",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Terra Linda High",1.2346,27.2727,0.0000,27.2727,0.0000,36.3636,36.3636
2019-01-08,"Tomales Elementary",3.2967,25.0000,0.0000,25.0000,0.0000,50.0000,25.0000
2019-01-08,"Tomales High",11.4035,26.6667,20.0000,0.0000,0.0000,53.3333,26.6667
2019-01-08,"Vallecito Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"Venetia Valley K-8",2.4077,22.2222,11.1111,11.1111,5.5556,33.3333,27.7778
2019-01-08,"Wade Thomas Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"West Marin Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2019-01-08,"White Hill Middle",1.0204,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
2020-01-08,"Adaline E. Kent Middle",1.2346,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2020-01-08,"Anthony G. Bacich Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Archie Williams High",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Bahia Vista Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Bayside Martin Luther King Jr. Academy",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Bel Aire Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Bodega Bay Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Bolinas-Stinson Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Brookside Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Coleman Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,Cove,0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Del Mar Middle",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Edna Maguire Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Glenwood Elementary",2.5316,0.0000,0.0000,50.0000,0.0000,50.0000,0.0000
2020-01-08,"Hall Middle",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Hamilton Meadow Park",0.5013,50.0000,0.0000,50.0000,0.0000,0.0000,50.0000
2020-01-08,"Hidden Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Inverness Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"James B. Davidson Middle",0.3632,0.0000,0.0000,33.3333,0.0000,33.3333,0.0000
2020-01-08,"Laguna Elementary",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Lagunitas Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Laurel Dell Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Lincoln Union Elementary",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Loma Verde Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Lu Sutton Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Lucas Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Lynwood Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
