AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2021-01-08,S,21,,,Marin,"San Rafael City High","Nonpublic, Nonsectarian Schools","No ",Total,25,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"San Rafael City High","San Rafael High","No ",Total,1374,110,80,7,5.8,25,48,5,24,7
2021-01-08,S,21,,,Marin,"San Rafael City High","Terra Linda High","No ",Total,1270,72,62,10,4.9,19,24,2,16,10
2021-01-08,S,21,,,Marin,"Sausalito Marin City","Bayside Martin Luther King Jr. Academy","No ",Total,433,15,14,1,3.2,6,5,2,1,1
2021-01-08,S,21,,,Marin,"Sausalito Marin City","Nonpublic, Nonsectarian Schools","No ",Total,3,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Shoreline Unified","Bodega Bay Elementary","No ",Total,30,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Shoreline Unified","Inverness Elementary","No ",Total,40,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Shoreline Unified","Nonpublic, Nonsectarian Schools","No ",Total,2,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Shoreline Unified","Tomales Elementary","No ",Total,152,4,3,0,2,2,2,0,0,0
2021-01-08,S,21,,,Marin,"Shoreline Unified","Tomales High","No ",Total,149,11,10,0,6.7,1,7,1,1,0
2021-01-08,S,21,,,Marin,"Shoreline Unified","West Marin Elementary","No ",Total,132,4,4,1,3,0,3,0,0,1
2021-01-08,S,21,,,Marin,"Tamalpais Union High","Archie Williams High","No ",Total,1310,13,12,0,0.9,4,4,1,4,0
2021-01-08,S,21,,,Marin,"Tamalpais Union High","Nonpublic, Nonsectarian Schools","No ",Total,29,0,0,0,0,0,0,0,0,0
2021-01-08,S,21,,,Marin,"Tamalpais Union High","Redwood High","No ",Total,1977,25,18,1,0.9,14,7,1,1,2
2021-01-08,S,21,,,Marin,"Tamalpais Union High","San Andreas High (Continuation)","No ",Total,101,3,3,0,3,3,0,0,0,0
2021-01-08,S,21,,,Marin,"Tamalpais Union High","Tamalpais High","No ",Total,1676,9,9,1,0.5,2,2,0,4,1
2021-01-08,S,21,,,Marin,"Tamalpais Union High","Tamiscal High (Alternative)","No ",Total,144,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65300,6024137,Marin,"Bolinas-Stinson Union","Bolinas-Stinson Elementary","No ",Total,92,3,2,1,2.2,0,2,0,0,1
2020-01-08,S,21,65334,6068308,Marin,"Kentfield Elementary","Adaline E. Kent Middle","No ",Total,535,2,2,0,0.4,0,2,0,0,0
2020-01-08,S,21,65334,6024319,Marin,"Kentfield Elementary","Anthony G. Bacich Elementary","No ",Total,584,2,2,0,0.3,2,0,0,0,0
2020-01-08,S,21,65334,1,Marin,"Kentfield Elementary","Nonpublic, Nonsectarian Schools","No ",Total,3,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65342,6024327,Marin,"Laguna Joint Elementary","Laguna Elementary","No ",Total,20,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65359,6024335,Marin,"Lagunitas Elementary","Lagunitas Elementary","No ",Total,156,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65359,6024343,Marin,"Lagunitas Elementary","San Geronimo Valley Elementary","No ",Total,85,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65367,129148,Marin,"Larkspur-Corte Madera",Cove,"No ",Total,382,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65367,6024350,Marin,"Larkspur-Corte Madera","Hall Middle","No ",Total,526,3,3,0,0.6,2,1,0,0,0
2020-01-08,S,21,65367,6024376,Marin,"Larkspur-Corte Madera","Neil Cummins Elementary","No ",Total,585,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65367,1,Marin,"Larkspur-Corte Madera","Nonpublic, Nonsectarian Schools","No ",Total,4,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65375,6024392,Marin,"Lincoln Elementary","Lincoln Union Elementary","No ",Total,10,0,0,0,0,0,0,0,0,0
